transaction_id,amount,hour,device_age_days,attempts_24h,country_match,channel,is_fraud
TX-00145,25461.0,17,507,6,1,web,0
TX-00146,25776.0,22,214,6,1,app,0
TX-00147,115466.0,15,772,5,1,web,0
TX-00148,171402.0,6,904,3,1,web,0
TX-00149,85097.0,20,756,4,1,app,0
TX-00150,146740.0,20,471,3,1,web,0
TX-00151,148879.0,3,206,6,1,web,0
TX-00152,21579.0,13,580,3,1,web,0
TX-00153,32162.0,20,60,3,1,app,0
TX-00154,65675.0,3,997,4,1,app,0
TX-00155,84740.0,7,1092,2,1,app,0
TX-00156,83410.0,11,1096,2,1,app,0
TX-00157,65867.0,18,134,3,1,web,0
TX-00158,42721.0,15,1053,2,1,web,0
TX-00159,79306.0,20,481,3,1,web,0
TX-00160,79414.0,16,862,7,1,web,0
TX-00161,56603.0,18,1144,2,1,app,0
TX-00162,123681.0,18,446,2,1,web,0
TX-00163,56830.0,10,536,7,0,web,1
TX-00164,66529.0,1,328,6,0,app,1
TX-00165,91918.0,13,278,4,1,call_center,0
TX-00166,42159.0,3,518,3,1,web,0
TX-00167,279936.0,4,657,5,1,web,0
TX-00168,31168.0,16,915,5,1,web,0
TX-00169,110609.0,3,83,3,1,web,0
TX-00170,20757.0,22,487,3,1,web,0
TX-00171,62470.0,17,72,5,0,call_center,0
TX-00172,31683.0,12,121,1,1,web,0
TX-00173,44496.0,6,1042,2,1,app,0
TX-00174,322026.0,23,137,1,1,app,0
TX-00175,51136.0,14,888,2,0,web,0
TX-00176,88986.0,16,1061,5,1,app,0
TX-00177,43445.0,4,799,5,0,web,1
TX-00178,303983.0,5,689,4,1,web,0
TX-00179,845023.0,20,675,1,0,call_center,0
TX-00180,28214.0,11,19,5,0,web,0
TX-00181,17735.0,2,1198,5,1,web,0
TX-00182,33281.0,14,580,4,1,call_center,0
TX-00183,206348.0,19,442,6,1,app,0
TX-00184,65637.0,6,425,2,1,web,0
TX-00185,15000.0,12,416,2,1,app,0
TX-00186,23076.0,1,37,2,1,app,0
TX-00187,87570.0,6,173,7,1,web,0
TX-00188,62999.0,8,58,7,1,web,0
TX-00189,252406.0,23,710,4,1,app,0
TX-00190,83303.0,8,944,7,1,web,0
TX-00191,51851.0,2,872,7,1,call_center,1
TX-00192,42681.0,16,107,5,1,web,0
TX-00193,37172.0,14,751,1,0,call_center,0
TX-00194,27089.0,19,577,2,1,call_center,0
TX-00195,58419.0,15,145,3,0,call_center,0
TX-00196,150028.0,13,808,7,1,web,0
TX-00197,37563.0,3,1009,6,1,web,0
TX-00198,52847.0,20,895,6,1,web,0
TX-00199,85494.0,17,653,7,1,web,0
TX-00200,221777.0,10,336,6,1,app,0
TX-00201,83051.0,9,291,2,1,app,0
TX-00202,83301.0,10,517,7,1,web,0
TX-00203,132539.0,4,819,7,0,web,1
TX-00204,82525.0,19,426,6,1,call_center,0
TX-00205,83952.0,22,599,4,1,web,0
TX-00206,52404.0,20,1049,5,1,web,0
TX-00207,226868.0,3,1170,4,0,app,1
TX-00208,88387.0,0,882,7,1,call_center,1
TX-00209,39980.0,11,1190,2,1,app,0
TX-00210,117831.0,14,28,1,1,app,0
TX-00211,81351.0,8,453,6,1,app,0
TX-00212,18379.0,11,537,7,1,web,0
TX-00213,89991.0,20,711,1,1,call_center,0
TX-00214,39554.0,23,476,2,1,web,0
TX-00215,55449.0,15,530,2,1,app,0
TX-00216,138129.0,12,513,6,1,web,0
TX-00217,162465.0,12,473,1,1,web,0
TX-00218,129911.0,17,389,1,1,call_center,0
TX-00219,88611.0,3,426,5,1,web,0
TX-00220,228881.0,21,81,4,1,call_center,0
TX-00221,28286.0,22,366,3,1,web,0
TX-00222,280918.0,3,864,7,0,app,1
TX-00223,156375.0,20,361,7,0,web,1
TX-00224,41747.0,8,424,2,1,app,0
TX-00225,17881.0,11,1075,3,1,app,0
TX-00226,79431.0,20,1162,2,1,web,0
TX-00227,69096.0,17,698,2,1,app,0
TX-00228,33320.0,4,775,6,1,app,0
TX-00229,38352.0,4,524,1,1,web,0
TX-00230,117379.0,13,653,1,1,web,0
TX-00231,115373.0,2,401,5,1,app,1
TX-00232,64264.0,18,70,6,1,app,0
TX-00233,110163.0,18,353,5,1,app,0
TX-00234,71050.0,12,260,1,1,call_center,0
TX-00235,20906.0,10,798,2,1,call_center,0
TX-00236,29160.0,19,343,7,1,app,0
TX-00237,88073.0,17,180,2,1,app,0
TX-00238,56923.0,11,241,4,1,web,0
TX-00239,87730.0,14,1023,2,1,web,0
TX-00240,137624.0,8,145,4,1,web,0
TX-00241,28834.0,3,108,1,1,app,0
TX-00242,22113.0,7,867,1,1,web,0
TX-00243,101867.0,10,312,1,1,call_center,0
TX-00244,70708.0,7,822,1,1,web,0
TX-00245,88136.0,5,950,2,1,app,0
TX-00246,95351.0,20,876,6,1,call_center,0
TX-00247,1432573.0,23,360,1,1,app,0
TX-00248,78463.0,11,355,4,1,web,0
TX-00249,86737.0,16,93,3,0,call_center,0
TX-00250,57147.0,19,897,3,1,app,0
TX-00251,43015.0,20,162,2,1,app,0
TX-00252,38652.0,22,1121,3,1,app,0
TX-00253,202210.0,3,938,1,1,web,0
TX-00254,159303.0,20,152,1,1,app,0
TX-00255,26283.0,0,872,6,1,app,1
TX-00256,15000.0,15,1031,5,1,app,0
TX-00257,165085.0,22,623,4,1,app,0
TX-00258,178024.0,12,1097,2,1,app,0
TX-00259,56311.0,10,238,7,1,app,0
TX-00260,79706.0,6,1153,1,1,app,0
TX-00261,80442.0,20,171,1,1,app,0
TX-00262,38656.0,8,663,3,1,app,0
TX-00263,27691.0,7,1102,6,1,call_center,0
TX-00264,101261.0,8,677,3,1,web,0
TX-00265,170938.0,18,816,1,1,web,0
TX-00266,83982.0,12,664,1,1,web,0
TX-00267,213749.0,5,922,2,1,web,0
TX-00268,87409.0,4,461,5,1,web,0
TX-00269,36364.0,16,1076,5,0,call_center,0
TX-00270,117698.0,8,370,7,1,app,0
TX-00271,56907.0,21,1036,4,1,web,0
TX-00272,36584.0,6,1040,4,1,app,0
TX-00273,141034.0,23,492,7,1,app,0
TX-00274,126785.0,2,254,4,1,web,0
TX-00275,35259.0,6,633,2,1,web,0
TX-00276,46951.0,8,1125,3,0,app,0
TX-00277,68439.0,15,251,5,1,call_center,0
TX-00278,17153.0,8,281,2,1,app,0
TX-00279,55420.0,19,460,4,1,app,0
TX-00280,27860.0,2,700,4,1,web,0
TX-00281,62423.0,1,1180,7,1,web,0
TX-00282,32643.0,5,176,4,1,call_center,0
TX-00283,113397.0,5,1035,3,1,call_center,0
TX-00284,15000.0,10,303,3,0,app,0
TX-00285,424120.0,13,186,6,1,app,0
TX-00286,15000.0,19,845,7,1,app,0
TX-00287,315112.0,1,266,2,1,call_center,0
TX-00288,72380.0,14,223,7,1,web,0
TX-00289,39291.0,14,118,4,1,web,0
TX-00290,815152.0,2,95,2,1,app,0
TX-00291,56977.0,19,497,1,1,web,0
TX-00292,84685.0,10,376,5,1,web,0
TX-00293,22938.0,5,980,2,1,app,0
TX-00294,44211.0,22,1075,5,1,web,0
TX-00295,45453.0,7,567,1,1,app,0
TX-00296,119750.0,11,1184,1,0,web,0
TX-00297,110646.0,4,405,2,1,call_center,0
TX-00298,233468.0,0,490,7,0,web,1
TX-00299,63035.0,17,8,5,1,app,0
TX-00300,61568.0,8,1057,6,1,app,0
TX-00301,15000.0,15,673,7,1,app,0
TX-00302,168282.0,8,137,7,1,app,0
TX-00303,32201.0,10,476,6,1,web,0
TX-00304,24812.0,23,786,6,1,web,0
TX-00305,342845.0,5,382,4,1,app,0
TX-00306,38436.0,15,312,6,1,web,0
TX-00307,21446.0,2,778,6,0,app,1
TX-00308,35898.0,14,340,4,1,app,0
TX-00309,41690.0,11,660,6,1,web,0
TX-00310,38266.0,7,945,4,0,web,0
TX-00311,122658.0,10,9,5,1,app,0
TX-00312,67026.0,13,382,7,1,app,0
TX-00313,248824.0,20,24,6,1,app,0
TX-00314,103122.0,21,1071,7,1,app,0
TX-00315,136469.0,14,167,2,1,app,0
TX-00316,15000.0,4,264,6,1,web,1
TX-00317,33729.0,17,404,5,1,web,0
TX-00318,88593.0,16,452,1,1,app,0
TX-00319,48294.0,1,234,4,1,app,0
TX-00320,59420.0,9,77,3,1,app,0
TX-00321,65256.0,11,1012,4,1,call_center,0
TX-00322,123143.0,5,381,3,1,app,0
TX-00323,63269.0,14,684,2,1,web,0
TX-00324,50540.0,14,1144,3,1,web,0
TX-00325,34928.0,15,696,5,0,web,1
TX-00326,106223.0,4,889,1,1,app,0
TX-00327,134242.0,12,439,2,0,app,0
TX-00328,82438.0,4,396,4,1,call_center,0
TX-00329,43694.0,19,231,2,1,web,0
TX-00330,47782.0,10,818,1,1,app,0
TX-00331,234403.0,12,1152,5,1,web,0
TX-00332,103866.0,3,1038,1,1,web,0
TX-00333,64305.0,4,1000,6,1,web,1
TX-00334,79535.0,6,723,4,1,app,0
TX-00335,89457.0,10,42,5,1,web,0
TX-00336,121388.0,9,708,3,1,web,0
TX-00337,123072.0,11,702,2,0,web,0
TX-00338,15000.0,0,935,7,0,app,1
TX-00339,35520.0,17,335,3,1,web,0
TX-00340,90919.0,8,811,1,1,web,0
TX-00341,85438.0,12,210,7,1,web,0
TX-00342,41212.0,4,499,2,1,web,0
TX-00343,118314.0,5,700,3,0,web,0
TX-00344,67837.0,16,238,3,1,app,0
TX-00345,74114.0,16,1069,4,1,app,0
TX-00346,30641.0,18,446,5,1,app,0
TX-00347,172737.0,14,1188,7,1,call_center,1
TX-00348,249136.0,15,864,3,1,web,0
TX-00349,71369.0,23,447,5,1,web,0
TX-00350,138348.0,23,573,3,1,app,0
TX-00351,39770.0,19,1080,4,1,web,0
TX-00352,55004.0,13,451,4,0,web,1
TX-00353,20054.0,6,698,3,1,app,0
TX-00354,32955.0,1,168,3,1,app,0
TX-00355,82652.0,5,613,6,1,app,0
TX-00356,22705.0,19,1052,2,1,web,0
TX-00357,191943.0,15,919,5,1,web,0
TX-00358,181162.0,12,315,2,1,web,0
TX-00359,67627.0,5,50,7,1,web,0
TX-00360,170320.0,1,792,5,1,web,0
TX-00361,39033.0,0,688,6,1,app,1
TX-00362,33146.0,17,447,3,1,app,0
TX-00363,18290.0,18,677,4,1,web,0
TX-00364,99714.0,19,44,1,1,web,0
TX-00365,54387.0,11,279,1,0,call_center,0
TX-00366,419027.0,6,708,6,1,app,0
TX-00367,238135.0,4,933,3,1,web,0
TX-00368,87924.0,4,279,2,1,web,0
TX-00369,73250.0,20,1076,1,1,web,0
TX-00370,108771.0,9,862,4,1,web,0
TX-00371,22223.0,21,1170,2,1,web,0
TX-00372,93671.0,7,220,5,1,app,0
TX-00373,360681.0,6,754,2,1,app,0
TX-00374,61662.0,16,470,5,1,app,0
TX-00375,37469.0,15,265,4,1,web,0
TX-00376,127079.0,11,781,5,1,web,0
TX-00377,51552.0,15,54,5,0,web,0
TX-00378,87015.0,4,822,1,1,web,0
TX-00379,74156.0,9,536,7,1,app,0
TX-00380,54973.0,6,36,7,1,web,0
TX-00381,83150.0,3,1048,5,1,app,0
TX-00382,59649.0,17,871,1,1,web,0
TX-00383,208094.0,9,306,6,1,web,0
TX-00384,25803.0,6,114,2,1,web,0
TX-00385,338269.0,18,569,3,1,app,0
TX-00386,65894.0,18,932,2,1,web,0
TX-00387,591854.0,13,1062,1,1,app,0
TX-00388,91476.0,17,693,7,1,app,0
TX-00389,80436.0,8,1150,6,1,web,0
TX-00390,260639.0,14,317,1,1,app,0
TX-00391,42754.0,20,436,5,1,web,0
TX-00392,19710.0,4,39,4,1,app,0
TX-00393,24575.0,4,677,7,1,app,1
TX-00394,111379.0,10,1179,3,1,web,0
TX-00395,66542.0,7,331,1,1,web,0
TX-00396,252383.0,10,593,3,1,call_center,0
TX-00397,64894.0,22,513,7,1,app,0
TX-00398,48962.0,20,924,2,1,call_center,0
TX-00399,785760.0,12,1139,6,1,web,0
TX-00400,161953.0,12,506,4,1,app,0
TX-00401,26599.0,6,571,7,1,web,0
TX-00402,160698.0,18,604,5,1,web,0
TX-00403,53801.0,1,931,2,1,web,0
TX-00404,148175.0,17,1103,4,1,web,0
TX-00405,235662.0,6,537,3,1,app,0
TX-00406,65669.0,14,1139,7,1,web,0
TX-00407,15000.0,22,856,5,0,app,1
TX-00408,116636.0,19,746,7,1,call_center,0
TX-00409,129840.0,11,357,4,0,app,0
TX-00410,47413.0,12,1063,1,1,call_center,0
TX-00411,25689.0,14,710,7,1,web,0
TX-00412,31236.0,6,13,2,1,call_center,0
TX-00413,20055.0,17,587,3,1,web,0
TX-00414,31088.0,16,768,1,1,web,0
TX-00415,48237.0,5,237,6,1,web,0
TX-00416,105460.0,17,778,4,1,web,0
TX-00417,78468.0,2,483,5,1,app,0
TX-00418,58401.0,14,412,2,1,call_center,0
TX-00419,60066.0,23,147,6,1,web,0
TX-00420,71675.0,11,576,3,1,app,0
TX-00421,142381.0,8,303,7,1,app,0
TX-00422,141236.0,19,1115,2,1,app,0
TX-00423,61733.0,7,74,6,0,web,1
TX-00424,61188.0,18,354,4,1,web,0
TX-00425,69116.0,22,319,6,1,web,0
TX-00426,34100.0,3,54,4,1,app,0
TX-00427,15000.0,4,402,1,1,app,0
TX-00428,338791.0,12,289,6,1,web,0
TX-00429,179070.0,3,915,5,1,web,0
TX-00430,112216.0,17,368,5,1,web,0
TX-00431,148073.0,5,444,3,1,call_center,0
TX-00432,93506.0,8,259,4,0,call_center,0
TX-00433,150310.0,5,1017,4,1,web,0
TX-00434,80998.0,18,857,6,1,app,0
TX-00435,16830.0,10,674,7,1,web,0
TX-00436,34333.0,12,586,2,1,app,0
TX-00437,122748.0,2,34,2,0,call_center,1
TX-00438,272354.0,18,623,7,1,web,0
TX-00439,34959.0,13,437,4,1,app,0
TX-00440,243384.0,2,239,3,1,app,0
TX-00441,75198.0,4,810,6,1,app,0
TX-00442,20733.0,12,546,6,1,web,0
TX-00443,84425.0,6,1002,5,1,web,0
TX-00444,51952.0,19,634,6,1,web,0
TX-00445,426629.0,15,1182,5,1,web,0
TX-00446,97959.0,22,64,2,1,app,0
TX-00447,98502.0,7,1132,1,1,app,0
TX-00448,279387.0,16,14,6,1,app,0
TX-00449,252792.0,5,1021,3,1,web,0
TX-00450,62032.0,18,63,6,0,app,1
TX-00451,44618.0,1,1104,4,1,app,0
TX-00452,76884.0,19,780,6,1,web,0
TX-00453,145514.0,21,898,7,1,web,0
TX-00454,69930.0,17,563,1,1,call_center,0
TX-00455,77968.0,13,773,7,0,web,1
TX-00456,210532.0,8,287,6,1,app,0
TX-00457,276447.0,13,166,4,1,app,0
TX-00458,65131.0,1,600,4,1,call_center,0
TX-00459,37633.0,16,794,3,1,app,0
TX-00460,45405.0,5,1012,6,0,app,1
TX-00461,48683.0,0,1029,2,1,app,0
TX-00462,135452.0,0,207,6,0,web,1
TX-00463,68604.0,13,692,2,1,app,0
TX-00464,45200.0,22,1071,1,1,web,0
TX-00465,142883.0,0,521,2,1,web,0
TX-00466,164457.0,18,56,5,0,web,1
TX-00467,28543.0,19,1004,4,1,app,0
TX-00468,216276.0,8,666,2,1,web,0
TX-00469,129038.0,14,393,6,1,web,0
TX-00470,49603.0,22,39,3,1,app,0
TX-00471,53342.0,18,1056,4,0,app,0
TX-00472,77083.0,1,838,7,1,web,1
TX-00473,106003.0,8,97,6,1,app,0
TX-00474,106727.0,3,902,4,1,web,0
TX-00475,57008.0,13,946,6,1,web,0
TX-00476,115488.0,9,389,1,1,call_center,0
TX-00477,29849.0,6,906,2,1,web,0
TX-00478,18200.0,23,1143,5,1,app,0
TX-00479,362077.0,19,700,4,1,web,0
TX-00480,51292.0,6,847,1,1,web,0
TX-00481,42048.0,22,918,2,1,app,0
TX-00482,125381.0,9,21,6,1,web,0
TX-00483,24041.0,3,1198,1,1,web,0
TX-00484,149537.0,1,584,3,1,web,0
TX-00485,54604.0,8,209,2,1,app,0
TX-00486,39958.0,7,554,4,1,web,0
TX-00487,28535.0,8,766,4,1,app,0
TX-00488,35694.0,12,491,5,0,app,0
TX-00489,15000.0,0,920,5,1,web,0
TX-00490,127371.0,1,993,4,1,app,0
TX-00491,101578.0,14,1012,2,0,web,0
TX-00492,113370.0,8,616,3,1,web,0
TX-00493,101108.0,8,1073,4,1,web,0
TX-00494,98588.0,22,911,3,1,app,0
TX-00495,163802.0,5,1114,6,0,web,0
TX-00496,39464.0,10,410,1,1,web,0
TX-00497,249956.0,22,19,1,1,web,0
TX-00498,83014.0,18,912,7,0,call_center,1
TX-00499,77707.0,23,130,3,1,app,0
TX-00500,46617.0,22,943,1,0,app,0
TX-00501,20306.0,3,1174,6,1,web,0
TX-00502,97050.0,8,550,7,1,app,0
TX-00503,77582.0,12,860,3,1,web,0
TX-00504,65884.0,11,1082,4,1,web,0
TX-00505,42288.0,20,346,3,1,app,0
TX-00506,15000.0,11,124,6,1,app,0
TX-00507,48976.0,16,148,3,1,call_center,0
TX-00508,59068.0,0,1014,3,1,web,0
TX-00509,103954.0,6,5,5,0,web,1
TX-00510,188817.0,2,32,6,1,web,1
TX-00511,29693.0,6,281,5,1,web,0
TX-00512,15519.0,23,650,7,1,web,0
TX-00513,177921.0,17,50,1,1,web,0
TX-00514,142506.0,1,913,7,1,app,1
TX-00515,51418.0,19,673,3,1,web,0
TX-00516,74072.0,5,192,4,1,app,0
TX-00517,28357.0,13,422,6,1,web,0
TX-00518,88911.0,9,707,1,1,call_center,0
TX-00519,275551.0,13,845,5,1,web,0
TX-00520,74264.0,8,1021,5,1,web,0
TX-00521,19666.0,21,369,4,1,web,0
TX-00522,83407.0,7,678,4,1,app,0
TX-00523,119704.0,14,695,7,1,web,0
TX-00524,639508.0,13,901,3,1,call_center,0
TX-00525,192897.0,1,697,7,1,web,1
TX-00526,86552.0,17,64,1,1,web,0
TX-00527,119502.0,23,286,4,1,app,0
TX-00528,21105.0,22,715,3,1,call_center,0
TX-00529,85660.0,15,306,7,1,call_center,0
TX-00530,37379.0,15,1129,7,1,web,0
TX-00531,65399.0,10,234,7,0,web,1
TX-00532,84400.0,23,1160,7,1,call_center,0
TX-00533,218112.0,9,759,1,1,app,0
TX-00534,15000.0,10,309,4,0,web,1
TX-00535,132435.0,6,810,2,1,app,0
TX-00536,166358.0,12,91,5,0,call_center,1
TX-00537,31256.0,3,906,7,1,app,0
TX-00538,84921.0,0,526,3,1,app,0
TX-00539,26419.0,18,105,6,1,app,0
TX-00540,472777.0,7,642,4,1,app,0
TX-00541,76317.0,16,300,1,1,web,0
TX-00542,305809.0,5,665,5,1,web,0
TX-00543,298270.0,5,990,4,1,web,0
TX-00544,17646.0,7,1083,4,1,call_center,0
TX-00545,45804.0,10,1184,6,1,web,0
TX-00546,28522.0,15,136,3,1,app,0
TX-00547,53276.0,23,157,4,1,app,0
TX-00548,91948.0,3,530,2,0,app,1
TX-00549,153132.0,9,841,3,1,call_center,0
TX-00550,67745.0,7,328,5,1,app,0
TX-00551,93275.0,15,1021,4,1,call_center,0
TX-00552,51412.0,22,1006,5,1,app,0
TX-00553,73482.0,11,521,1,1,web,0
TX-00554,27529.0,21,1172,1,1,web,0
TX-00555,136541.0,22,841,3,0,web,0
TX-00556,267858.0,3,1108,1,0,web,1
TX-00557,38208.0,20,986,7,1,web,0
TX-00558,39010.0,10,905,3,1,web,0
TX-00559,24128.0,7,443,4,1,app,0
TX-00560,82811.0,3,1140,2,1,call_center,0
TX-00561,15000.0,1,1,5,1,web,1
TX-00562,42945.0,15,86,4,0,web,0
TX-00563,40103.0,12,81,2,1,web,0
TX-00564,213469.0,11,310,5,1,web,0
TX-00565,535973.0,23,921,3,1,web,0
TX-00566,135636.0,9,1144,6,1,web,0
TX-00567,71285.0,7,177,1,1,app,0
TX-00568,183133.0,15,420,6,1,web,0
TX-00569,127784.0,9,188,6,1,app,0
TX-00570,70080.0,22,515,5,1,web,0
TX-00571,108435.0,15,335,3,1,app,0
TX-00572,157056.0,1,134,7,1,web,1
TX-00573,32739.0,22,735,4,1,web,0
TX-00574,86098.0,4,1090,5,1,app,0
TX-00575,103273.0,17,443,2,1,web,0
TX-00576,235489.0,11,393,7,0,web,1
TX-00577,39352.0,15,65,1,1,app,0
TX-00578,73929.0,14,194,1,1,app,0
TX-00579,60905.0,9,784,2,1,web,0
TX-00580,88554.0,6,587,1,1,web,0
TX-00581,95163.0,15,269,7,1,web,0
TX-00582,575376.0,20,919,6,1,call_center,0
TX-00583,191682.0,13,1048,4,1,app,0
TX-00584,46096.0,5,527,2,1,app,0
TX-00585,113763.0,4,8,2,1,app,1
TX-00586,90228.0,11,273,3,1,app,0
TX-00587,82250.0,21,985,7,1,app,0
TX-00588,555418.0,20,332,2,1,web,0
TX-00589,80075.0,7,571,7,1,app,0
TX-00590,302413.0,19,487,3,1,web,0
TX-00591,16755.0,15,843,7,0,app,1
TX-00592,71224.0,10,783,2,1,app,0
TX-00593,15000.0,21,264,3,1,web,0
TX-00594,297766.0,2,811,2,1,web,0
