campaign_id,city,segment,channel,category,discount_pct,baseline_orders,avg_ticket,unit_cost,logistics_capacity,seasonality_index,baseline_return_rate,incremental_orders_pct
CMP-0019,Medellin,Alto valor,Digital,Educacion,10,331,285420.0,171191.0,0.826,1.186,0.103,14.783
CMP-0020,Manizales,Alto valor,Tienda,Educacion,25,438,442060.0,323609.0,0.568,1.213,0.116,7.555
CMP-0021,Manizales,Ocasional,B2B,Hogar,15,190,267682.0,147918.0,0.607,1.015,0.022,4.091
CMP-0022,Bucaramanga,Frecuente,Digital,Hogar,10,400,369638.0,267581.0,0.775,1.154,0.041,12.377
CMP-0023,Pereira,En riesgo,Tienda,Hogar,10,207,204475.0,118845.0,0.886,0.888,0.047,8.548
CMP-0024,Medellin,Frecuente,Tienda,Educacion,20,502,256844.0,177672.0,0.759,1.071,0.06,5.706
CMP-0025,Bogota,En riesgo,Tienda,Hogar,15,616,306467.0,218662.0,0.558,0.961,0.065,9.852
CMP-0026,Bogota,Frecuente,Digital,Educacion,15,394,289800.0,183872.0,0.633,1.068,0.046,12.499
CMP-0027,Manizales,Ocasional,Tienda,Hogar,20,320,202521.0,114657.0,0.815,1.104,0.098,4.334
CMP-0028,Medellin,Alto valor,Digital,Bienestar,15,663,199286.0,144033.0,0.862,0.956,0.038,15.989
CMP-0029,Manizales,Ocasional,B2B,Bienestar,15,489,334121.0,203213.0,0.565,0.897,0.088,5.617
CMP-0030,Manizales,Ocasional,Digital,Hogar,5,345,349366.0,208559.0,0.569,0.945,0.104,8.317
CMP-0031,Manizales,En riesgo,Digital,Educacion,5,97,373411.0,239881.0,0.668,1.099,0.078,13.158
CMP-0032,Bucaramanga,Ocasional,B2B,Bienestar,25,89,395295.0,246830.0,0.588,1.105,0.052,3.452
CMP-0033,Pereira,Alto valor,Digital,Educacion,15,217,270096.0,184728.0,0.794,1.134,0.035,21.491
CMP-0034,Manizales,Frecuente,Digital,Educacion,10,226,236660.0,130856.0,0.606,0.857,0.029,7.64
CMP-0035,Medellin,Alto valor,Digital,Tecnologia,15,527,361324.0,225671.0,0.842,1.168,0.093,13.292
CMP-0036,Pereira,Alto valor,Digital,Tecnologia,0,390,313480.0,230097.0,0.9,1.11,0.064,5.368
CMP-0037,Medellin,Ocasional,Digital,Bienestar,20,699,186316.0,98497.0,0.987,0.814,0.02,13.811
CMP-0038,Medellin,Ocasional,Digital,Hogar,5,415,182477.0,114917.0,0.977,0.951,0.118,14.281
CMP-0039,Bucaramanga,Ocasional,Tienda,Hogar,20,639,296895.0,201451.0,0.673,1.01,0.085,3.338
CMP-0040,Bogota,En riesgo,Tienda,Tecnologia,15,422,246704.0,180847.0,0.563,0.962,0.104,7.705
CMP-0041,Pereira,Ocasional,Digital,Hogar,10,302,258018.0,170939.0,0.698,0.853,0.061,6.861
CMP-0042,Bogota,Ocasional,Tienda,Hogar,0,523,340440.0,244394.0,0.869,0.893,0.115,4.717
CMP-0043,Bogota,Alto valor,Digital,Hogar,20,358,316928.0,181741.0,0.577,0.811,0.036,4.57
CMP-0044,Bucaramanga,Frecuente,B2B,Bienestar,5,250,359740.0,217526.0,0.712,0.842,0.034,-2.372
CMP-0045,Pereira,Ocasional,Digital,Bienestar,0,373,115135.0,85903.0,0.684,0.92,0.108,8.514
CMP-0046,Medellin,En riesgo,Tienda,Hogar,20,492,279005.0,204408.0,0.649,1.169,0.109,12.491
CMP-0047,Manizales,Alto valor,Digital,Tecnologia,10,312,312102.0,204086.0,0.868,1.037,0.067,15.776
CMP-0048,Medellin,Frecuente,Tienda,Bienestar,10,516,145506.0,92268.0,0.847,0.991,0.028,9.187
CMP-0049,Bogota,Ocasional,Digital,Tecnologia,10,688,210883.0,132488.0,0.791,1.098,0.047,12.849
CMP-0050,Bogota,Alto valor,Tienda,Hogar,20,334,196964.0,105200.0,0.96,1.044,0.094,7.673
CMP-0051,Bogota,Frecuente,Digital,Hogar,10,263,261627.0,192079.0,0.596,0.859,0.104,6.073
CMP-0052,Pereira,En riesgo,B2B,Tecnologia,5,329,382089.0,273712.0,0.617,0.9,0.052,5.778
CMP-0053,Bucaramanga,Ocasional,Tienda,Hogar,10,599,411694.0,259162.0,0.723,0.9,0.021,-0.304
CMP-0054,Manizales,Frecuente,Tienda,Hogar,5,190,198928.0,116784.0,0.845,1.07,0.085,7.724
CMP-0055,Manizales,En riesgo,Tienda,Educacion,10,683,299492.0,180384.0,0.813,1.008,0.093,11.139
CMP-0056,Pereira,Frecuente,B2B,Educacion,5,336,301910.0,165917.0,0.583,0.974,0.06,2.72
CMP-0057,Manizales,En riesgo,Digital,Tecnologia,5,601,289072.0,200393.0,0.981,1.05,0.076,13.019
CMP-0058,Pereira,Frecuente,Digital,Bienestar,10,567,289923.0,189494.0,0.687,1.237,0.119,10.986
CMP-0059,Bogota,Ocasional,Digital,Bienestar,20,565,282781.0,162934.0,0.712,0.941,0.041,2.849
CMP-0060,Bogota,Frecuente,Digital,Hogar,0,643,386568.0,258815.0,0.831,1.034,0.075,7.04
CMP-0061,Medellin,Frecuente,Tienda,Hogar,5,194,342685.0,258732.0,0.975,1.016,0.079,8.257
CMP-0062,Bogota,En riesgo,B2B,Educacion,20,448,180488.0,99156.0,0.848,1.122,0.073,7.503
CMP-0063,Bucaramanga,Alto valor,B2B,Hogar,20,141,319679.0,201409.0,0.98,1.129,0.106,11.785
CMP-0064,Medellin,Alto valor,Tienda,Tecnologia,15,265,326928.0,208776.0,0.634,1.128,0.079,10.546
CMP-0065,Manizales,Frecuente,Tienda,Hogar,10,105,283623.0,158838.0,0.828,0.891,0.068,7.104
CMP-0066,Bucaramanga,Ocasional,B2B,Hogar,10,503,344857.0,223322.0,0.923,1.002,0.028,1.543
CMP-0067,Medellin,Ocasional,B2B,Hogar,5,456,274106.0,182399.0,0.779,1.165,0.089,8.029
CMP-0068,Bucaramanga,En riesgo,Digital,Tecnologia,5,538,275035.0,153404.0,0.713,0.972,0.029,7.75
CMP-0069,Pereira,Frecuente,Tienda,Tecnologia,10,189,269093.0,149921.0,0.993,1.243,0.018,14.28
CMP-0070,Manizales,Frecuente,Tienda,Educacion,15,285,108632.0,78815.0,0.613,0.964,0.066,5.453
CMP-0071,Bogota,Alto valor,Digital,Tecnologia,10,499,253970.0,151044.0,0.735,1.024,0.075,12.063
CMP-0072,Pereira,Ocasional,Digital,Bienestar,15,592,209881.0,140889.0,0.943,1.014,0.12,15.501
CMP-0073,Manizales,En riesgo,B2B,Bienestar,10,629,171016.0,114654.0,0.955,0.995,0.09,13.277
CMP-0074,Pereira,Ocasional,B2B,Bienestar,10,125,367551.0,265152.0,0.991,1.181,0.104,13.501
CMP-0075,Bogota,Ocasional,B2B,Educacion,20,329,297816.0,207749.0,0.948,0.87,0.051,6.147
CMP-0076,Manizales,Frecuente,Tienda,Tecnologia,20,86,257763.0,186037.0,0.573,1.055,0.068,8.181
CMP-0077,Bucaramanga,En riesgo,Digital,Hogar,10,587,217640.0,145830.0,0.968,1.078,0.117,11.919
CMP-0078,Bucaramanga,Frecuente,Digital,Tecnologia,15,156,282213.0,177193.0,0.743,1.183,0.059,13.117
CMP-0079,Manizales,Alto valor,Tienda,Bienestar,10,589,334358.0,205448.0,0.843,1.074,0.1,11.599
CMP-0080,Bogota,Frecuente,Tienda,Bienestar,0,176,197978.0,120958.0,0.727,1.232,0.07,9.007
CMP-0081,Medellin,Alto valor,Tienda,Educacion,20,89,259638.0,161083.0,0.916,1.192,0.039,11.888
CMP-0082,Manizales,Frecuente,Tienda,Hogar,5,624,325105.0,179144.0,0.809,0.957,0.076,7.632
CMP-0083,Pereira,Alto valor,Digital,Tecnologia,10,352,114800.0,71377.0,0.93,1.187,0.038,17.5
CMP-0084,Medellin,Frecuente,Tienda,Educacion,15,343,255682.0,156853.0,0.637,1.231,0.015,14.377
CMP-0085,Bogota,Ocasional,Digital,Bienestar,5,480,227803.0,120348.0,0.633,0.916,0.04,5.439
CMP-0086,Bogota,Frecuente,Digital,Educacion,5,250,249963.0,146486.0,0.748,1.075,0.035,12.571
CMP-0087,Pereira,Frecuente,Digital,Hogar,10,508,222378.0,155766.0,0.552,0.927,0.054,4.067
CMP-0088,Bucaramanga,En riesgo,Digital,Hogar,25,346,270322.0,178063.0,0.862,1.092,0.108,7.469
CMP-0089,Bogota,Ocasional,B2B,Hogar,15,249,404272.0,288440.0,0.683,0.842,0.056,-2.514
CMP-0090,Medellin,Frecuente,Digital,Bienestar,10,324,235706.0,153267.0,0.801,1.13,0.104,15.722
CMP-0091,Manizales,Frecuente,Digital,Tecnologia,0,83,281878.0,204356.0,0.582,0.989,0.073,5.737
CMP-0092,Medellin,En riesgo,Tienda,Educacion,15,266,409606.0,291253.0,0.627,1.064,0.016,14.049
CMP-0093,Medellin,Frecuente,Tienda,Tecnologia,5,446,218749.0,118909.0,0.83,0.812,0.035,3.441
CMP-0094,Bucaramanga,Frecuente,Digital,Hogar,15,165,396101.0,298851.0,0.688,1.113,0.113,11.09
CMP-0095,Medellin,En riesgo,Digital,Hogar,20,153,260399.0,136329.0,0.647,1.023,0.078,12.009
CMP-0096,Bucaramanga,Frecuente,Digital,Bienestar,10,486,393642.0,261080.0,0.653,1.081,0.113,15.646
CMP-0097,Bucaramanga,Ocasional,Tienda,Bienestar,10,345,316265.0,224612.0,0.647,0.942,0.048,10.617
CMP-0098,Bogota,Ocasional,Digital,Educacion,0,164,283033.0,169722.0,0.83,0.866,0.09,5.333
CMP-0099,Bogota,Ocasional,Digital,Educacion,0,543,255078.0,169284.0,0.625,0.996,0.096,3.757
CMP-0100,Pereira,Frecuente,Digital,Tecnologia,10,560,213197.0,129391.0,0.713,1.225,0.117,17.606
CMP-0101,Medellin,Frecuente,Tienda,Tecnologia,20,101,265684.0,142021.0,0.86,0.903,0.017,7.1
CMP-0102,Pereira,Frecuente,Digital,Educacion,10,205,327302.0,170862.0,0.781,1.104,0.115,11.935
CMP-0103,Medellin,Alto valor,Tienda,Hogar,15,309,259017.0,140586.0,0.819,0.822,0.056,9.002
CMP-0104,Pereira,En riesgo,Digital,Tecnologia,15,533,236253.0,128432.0,0.663,1.123,0.103,12.329
CMP-0105,Bogota,Frecuente,Tienda,Educacion,0,125,241191.0,160781.0,0.97,0.907,0.072,3.375
CMP-0106,Bogota,Ocasional,Digital,Bienestar,5,579,334436.0,216115.0,0.736,1.003,0.074,4.661
CMP-0107,Bogota,Ocasional,Digital,Tecnologia,10,278,351887.0,221446.0,0.679,0.965,0.053,11.818
CMP-0108,Bogota,Ocasional,Digital,Educacion,15,157,209964.0,144048.0,0.957,0.851,0.102,11.969
CMP-0109,Manizales,Frecuente,Tienda,Bienestar,10,615,209856.0,109973.0,0.845,0.956,0.043,13.323
CMP-0110,Bogota,Frecuente,B2B,Bienestar,20,133,288452.0,168755.0,0.826,0.958,0.067,2.115
CMP-0111,Bucaramanga,En riesgo,Digital,Educacion,20,160,374565.0,264658.0,0.949,1.035,0.074,20.535
CMP-0112,Bogota,Ocasional,Digital,Hogar,20,668,345949.0,255447.0,0.576,1.238,0.093,5.885
CMP-0113,Manizales,Ocasional,B2B,Hogar,25,402,166111.0,103853.0,0.927,1.012,0.065,0.25
CMP-0114,Manizales,En riesgo,Tienda,Bienestar,20,367,240194.0,129598.0,0.855,1.211,0.086,12.245
CMP-0115,Manizales,Ocasional,Digital,Tecnologia,20,506,190205.0,135368.0,0.712,1.008,0.066,12.412
CMP-0116,Manizales,Alto valor,Digital,Tecnologia,20,470,239937.0,175739.0,0.665,0.848,0.084,10.051
CMP-0117,Pereira,Ocasional,Tienda,Educacion,20,460,380331.0,235531.0,0.597,0.904,0.086,3.285
CMP-0118,Pereira,Alto valor,Tienda,Tecnologia,20,94,153305.0,88672.0,0.973,0.983,0.089,9.093
CMP-0119,Bucaramanga,Ocasional,Tienda,Bienestar,25,422,138585.0,73527.0,0.614,0.946,0.101,-2.346
CMP-0120,Pereira,En riesgo,B2B,Hogar,10,252,197858.0,130955.0,0.667,1.19,0.072,14.698
CMP-0121,Manizales,Frecuente,Digital,Tecnologia,15,580,281548.0,207886.0,0.861,1.105,0.035,16.375
CMP-0122,Bogota,Frecuente,Digital,Bienestar,15,393,306557.0,209284.0,0.87,1.06,0.086,17.461
CMP-0123,Bogota,Alto valor,Digital,Educacion,20,156,292809.0,174555.0,0.622,1.021,0.023,12.215
CMP-0124,Manizales,En riesgo,Digital,Hogar,10,629,348176.0,234773.0,0.916,0.979,0.038,7.845
CMP-0125,Medellin,Alto valor,Digital,Tecnologia,20,256,127769.0,91955.0,0.78,1.075,0.098,9.688
CMP-0126,Manizales,Alto valor,Digital,Tecnologia,20,248,349125.0,221415.0,0.932,0.856,0.061,13.211
CMP-0127,Pereira,Frecuente,Digital,Tecnologia,25,660,236593.0,169575.0,0.589,0.873,0.067,3.371
CMP-0128,Bogota,Alto valor,Tienda,Educacion,10,560,314862.0,193344.0,0.569,0.936,0.119,6.546
CMP-0129,Manizales,Frecuente,Digital,Hogar,15,612,160743.0,97031.0,0.837,0.877,0.04,8.09
CMP-0130,Bogota,Frecuente,Digital,Hogar,20,490,260372.0,171824.0,0.618,1.105,0.017,13.217
CMP-0131,Manizales,Frecuente,Tienda,Tecnologia,25,644,277720.0,175387.0,0.786,0.811,0.027,4.212
CMP-0132,Manizales,Alto valor,Tienda,Hogar,20,151,346681.0,261573.0,0.556,0.872,0.041,7.625
CMP-0133,Pereira,Alto valor,Tienda,Educacion,15,451,141106.0,90863.0,0.901,1.206,0.091,12.934
CMP-0134,Manizales,Frecuente,Tienda,Hogar,15,261,262306.0,160647.0,0.955,1.249,0.096,14.698
CMP-0135,Bogota,Alto valor,Tienda,Bienestar,5,327,178607.0,109805.0,0.927,1.019,0.074,6.46
CMP-0136,Bucaramanga,Ocasional,Digital,Tecnologia,25,227,297912.0,194091.0,0.981,1.023,0.042,7.868
CMP-0137,Bogota,Frecuente,Digital,Tecnologia,10,207,318291.0,192623.0,0.956,1.148,0.07,8.056
CMP-0138,Pereira,Frecuente,Tienda,Bienestar,15,354,356538.0,247258.0,0.75,0.816,0.017,2.778
CMP-0139,Bucaramanga,Frecuente,Digital,Tecnologia,20,649,219873.0,134421.0,0.729,0.992,0.087,9.317
CMP-0140,Manizales,Frecuente,Digital,Hogar,10,473,329542.0,201744.0,0.953,0.845,0.08,18.119
CMP-0141,Medellin,Alto valor,Digital,Hogar,5,296,362068.0,241888.0,0.967,0.98,0.017,7.552
CMP-0142,Bucaramanga,Alto valor,Digital,Tecnologia,5,348,136756.0,73110.0,0.988,1.243,0.101,12.446
CMP-0143,Bucaramanga,En riesgo,Digital,Bienestar,20,408,305926.0,207199.0,0.896,1.139,0.095,16.588
CMP-0144,Manizales,Alto valor,Digital,Educacion,15,231,331888.0,212805.0,0.641,1.243,0.047,20.267
CMP-0145,Medellin,Frecuente,Tienda,Tecnologia,5,403,240596.0,151269.0,0.975,1.136,0.082,11.097
CMP-0146,Medellin,Frecuente,B2B,Educacion,15,511,169192.0,117186.0,0.976,1.074,0.078,12.761
CMP-0147,Pereira,Frecuente,Digital,Bienestar,10,230,330722.0,232160.0,0.85,1.139,0.03,13.125
CMP-0148,Bucaramanga,Frecuente,B2B,Bienestar,20,442,170037.0,122954.0,0.936,1.097,0.035,7.901
CMP-0149,Medellin,Ocasional,Digital,Tecnologia,10,519,246624.0,150429.0,0.803,1.009,0.087,10.809
CMP-0150,Pereira,Ocasional,B2B,Educacion,5,401,256991.0,153806.0,0.975,0.932,0.113,3.235
CMP-0151,Medellin,Frecuente,B2B,Tecnologia,5,261,313665.0,216881.0,0.592,1.034,0.076,6.392
CMP-0152,Bucaramanga,Frecuente,Digital,Educacion,15,423,213003.0,140504.0,0.939,0.916,0.075,8.072
CMP-0153,Medellin,Frecuente,Tienda,Bienestar,10,571,208656.0,140140.0,0.575,1.019,0.083,10.145
CMP-0154,Bucaramanga,Frecuente,B2B,Hogar,20,217,267419.0,174711.0,0.703,0.866,0.061,4.573
CMP-0155,Manizales,Ocasional,B2B,Tecnologia,10,436,335479.0,236663.0,0.611,1.054,0.021,4.8
CMP-0156,Bogota,Frecuente,B2B,Bienestar,10,501,431559.0,244094.0,0.766,0.91,0.057,1.965
CMP-0157,Pereira,Frecuente,Tienda,Tecnologia,10,279,146939.0,96006.0,0.655,0.932,0.11,4.583
CMP-0158,Manizales,En riesgo,Digital,Bienestar,10,320,283651.0,158261.0,0.978,1.025,0.1,19.707
CMP-0159,Manizales,Alto valor,Tienda,Educacion,20,631,178510.0,110273.0,0.802,0.873,0.112,7.859
CMP-0160,Bogota,Frecuente,Tienda,Hogar,5,305,336411.0,228544.0,0.954,1.233,0.031,12.287
CMP-0161,Medellin,Ocasional,Tienda,Tecnologia,25,450,189609.0,121035.0,0.675,1.001,0.068,0.252
CMP-0162,Bogota,Alto valor,Digital,Tecnologia,10,172,209401.0,127966.0,0.562,0.959,0.076,10.726
CMP-0163,Manizales,Alto valor,Tienda,Tecnologia,5,654,215805.0,158054.0,0.899,0.813,0.037,3.632
CMP-0164,Manizales,Alto valor,Digital,Tecnologia,10,450,254285.0,179393.0,0.866,1.179,0.036,16.478
CMP-0165,Manizales,En riesgo,Tienda,Tecnologia,0,551,284240.0,183707.0,0.795,1.082,0.097,7.927
CMP-0166,Medellin,Alto valor,Digital,Bienestar,20,453,296278.0,221619.0,0.917,0.987,0.086,14.248
CMP-0167,Bucaramanga,Alto valor,Tienda,Hogar,15,300,259567.0,161411.0,0.928,0.91,0.083,8.873
CMP-0168,Pereira,Alto valor,Tienda,Educacion,10,290,160258.0,113645.0,0.815,1.135,0.043,11.747
CMP-0169,Bucaramanga,Alto valor,Digital,Educacion,15,514,314584.0,176263.0,0.985,1.225,0.068,19.697
CMP-0170,Pereira,Ocasional,Tienda,Educacion,15,613,256028.0,150696.0,0.874,0.971,0.017,8.054
CMP-0171,Pereira,Frecuente,Digital,Bienestar,25,159,347130.0,208674.0,0.855,0.861,0.029,5.84
CMP-0172,Pereira,Ocasional,B2B,Hogar,25,604,206920.0,112853.0,0.713,0.849,0.069,5.058
CMP-0173,Bogota,Ocasional,Tienda,Educacion,15,594,139829.0,89551.0,0.551,0.803,0.048,1.056
CMP-0174,Bogota,Ocasional,Digital,Tecnologia,20,147,257448.0,145752.0,0.658,1.135,0.116,12.818
CMP-0175,Bogota,Alto valor,Digital,Hogar,20,147,357196.0,240109.0,0.894,1.242,0.065,12.96
CMP-0176,Manizales,En riesgo,Digital,Hogar,15,510,272071.0,153889.0,0.869,1.247,0.024,20.245
CMP-0177,Bogota,Ocasional,Digital,Bienestar,15,602,245025.0,134676.0,0.699,1.153,0.017,13.733
CMP-0178,Pereira,Alto valor,B2B,Bienestar,0,324,194724.0,146546.0,0.832,0.873,0.091,0.78
CMP-0179,Medellin,Ocasional,Tienda,Educacion,20,477,391832.0,265654.0,0.638,1.24,0.033,4.962
CMP-0180,Manizales,En riesgo,Digital,Educacion,25,699,182780.0,136125.0,0.669,0.948,0.035,2.996
CMP-0181,Medellin,Frecuente,B2B,Hogar,5,280,205595.0,131082.0,0.976,0.95,0.059,5.091
CMP-0182,Pereira,En riesgo,Digital,Educacion,20,219,302753.0,159858.0,0.736,1.109,0.043,15.658
CMP-0183,Manizales,Frecuente,B2B,Tecnologia,25,694,120798.0,79467.0,0.66,0.822,0.08,-2.585
CMP-0184,Bogota,Ocasional,Digital,Educacion,5,253,355594.0,232558.0,0.769,1.172,0.066,10.378
CMP-0185,Manizales,En riesgo,Tienda,Tecnologia,15,373,306814.0,160646.0,0.724,1.249,0.027,10.494
CMP-0186,Manizales,Frecuente,B2B,Educacion,20,354,327442.0,237952.0,0.878,1.149,0.097,8.785
CMP-0187,Pereira,Ocasional,Digital,Hogar,25,404,301859.0,201881.0,0.983,1.152,0.06,6.581
CMP-0188,Bucaramanga,Frecuente,Tienda,Educacion,5,246,247916.0,173225.0,0.816,0.976,0.079,6.961
CMP-0189,Bucaramanga,Ocasional,B2B,Tecnologia,10,500,180264.0,115106.0,0.816,0.83,0.015,3.147
CMP-0190,Bucaramanga,Ocasional,Digital,Hogar,15,509,249494.0,166766.0,0.714,1.157,0.081,8.6
CMP-0191,Bogota,Frecuente,Digital,Educacion,5,204,186857.0,108712.0,0.804,1.069,0.045,8.842
CMP-0192,Bogota,Frecuente,Tienda,Tecnologia,10,378,296462.0,223444.0,0.694,1.209,0.067,8.388
CMP-0193,Bogota,Frecuente,Digital,Hogar,0,115,320508.0,197489.0,0.55,0.852,0.046,-1.748
CMP-0194,Bucaramanga,Alto valor,Digital,Tecnologia,5,216,370761.0,207240.0,0.94,0.937,0.12,14.862
CMP-0195,Medellin,Alto valor,Digital,Hogar,15,692,287883.0,153562.0,0.743,0.962,0.039,11.853
CMP-0196,Pereira,Frecuente,Tienda,Hogar,15,393,329343.0,221543.0,0.771,1.107,0.111,4.691
CMP-0197,Bucaramanga,Alto valor,Digital,Bienestar,15,466,237714.0,179715.0,0.588,1.154,0.111,12.022
CMP-0198,Pereira,Alto valor,Digital,Hogar,20,631,224129.0,164733.0,0.927,1.232,0.059,18.941
CMP-0199,Bucaramanga,Ocasional,Tienda,Tecnologia,10,522,295525.0,203471.0,0.627,0.933,0.047,3.453
CMP-0200,Medellin,Ocasional,Tienda,Tecnologia,10,571,231015.0,175050.0,0.735,1.022,0.055,11.822
CMP-0201,Bucaramanga,Ocasional,Tienda,Educacion,0,521,280189.0,194305.0,0.928,0.813,0.119,-1.539
CMP-0202,Medellin,Frecuente,Digital,Educacion,5,389,180411.0,108503.0,0.756,0.914,0.08,9.805
CMP-0203,Manizales,En riesgo,B2B,Tecnologia,10,472,193878.0,128792.0,0.969,0.968,0.072,14.493
CMP-0204,Bogota,Ocasional,Tienda,Tecnologia,5,258,307656.0,165871.0,0.644,1.067,0.019,6.49
CMP-0205,Manizales,Alto valor,Digital,Tecnologia,0,632,326502.0,187152.0,0.872,1.012,0.104,4.391
CMP-0206,Bucaramanga,Alto valor,B2B,Educacion,5,191,186076.0,115406.0,0.99,0.964,0.024,5.965
CMP-0207,Bogota,Ocasional,Digital,Bienestar,15,628,310296.0,176384.0,0.797,1.081,0.02,15.047
CMP-0208,Medellin,Alto valor,Digital,Educacion,15,624,220045.0,164778.0,0.861,1.173,0.044,14.2
CMP-0209,Bucaramanga,Frecuente,Digital,Hogar,25,168,261238.0,198265.0,0.727,0.909,0.065,8.805
CMP-0210,Bogota,En riesgo,Tienda,Bienestar,20,520,366271.0,223068.0,0.888,0.954,0.109,9.99
CMP-0211,Bucaramanga,Alto valor,Digital,Tecnologia,15,693,320562.0,221256.0,0.959,1.117,0.098,17.059
CMP-0212,Bogota,Alto valor,Digital,Bienestar,5,434,319690.0,197526.0,0.866,1.15,0.036,9.842
CMP-0213,Bogota,En riesgo,Digital,Bienestar,15,291,403159.0,223141.0,0.971,1.171,0.054,16.72
CMP-0214,Manizales,Ocasional,Digital,Hogar,0,625,207209.0,124504.0,0.815,0.894,0.097,0.864
CMP-0215,Bogota,Alto valor,Digital,Bienestar,10,397,186059.0,107172.0,0.81,1.043,0.07,14.681
CMP-0216,Bucaramanga,En riesgo,Tienda,Bienestar,10,155,205841.0,123245.0,0.687,1.205,0.033,13.655
CMP-0217,Pereira,En riesgo,Digital,Hogar,10,234,240912.0,137707.0,0.869,0.976,0.057,16.086
CMP-0218,Pereira,Frecuente,Digital,Tecnologia,10,503,83409.0,45621.0,0.947,0.993,0.081,11.82
CMP-0219,Manizales,Ocasional,Tienda,Tecnologia,15,362,244443.0,139866.0,0.841,1.243,0.117,9.006
CMP-0220,Medellin,Frecuente,Digital,Educacion,20,214,219157.0,161603.0,0.655,0.851,0.084,8.366
CMP-0221,Pereira,Alto valor,Tienda,Hogar,20,575,318782.0,172287.0,0.795,1.118,0.017,8.431
CMP-0222,Manizales,Ocasional,Digital,Hogar,15,154,286431.0,171269.0,0.89,1.183,0.089,16.847
CMP-0223,Bogota,Frecuente,Digital,Bienestar,15,215,214948.0,139034.0,0.973,0.868,0.041,11.973
CMP-0224,Bucaramanga,Ocasional,Digital,Hogar,0,368,304247.0,184095.0,0.62,1.122,0.106,3.379
CMP-0225,Bogota,Ocasional,Digital,Hogar,15,104,314245.0,202445.0,0.607,1.011,0.055,10.522
CMP-0226,Bucaramanga,Alto valor,Digital,Bienestar,15,320,202359.0,107335.0,0.736,1.184,0.036,15.239
CMP-0227,Medellin,Ocasional,Tienda,Bienestar,10,644,223023.0,150687.0,0.607,1.208,0.064,4.066
CMP-0228,Manizales,Frecuente,Digital,Bienestar,10,663,93098.0,61001.0,0.991,1.193,0.042,13.01
CMP-0229,Manizales,En riesgo,Tienda,Tecnologia,25,620,178201.0,121788.0,0.741,0.829,0.04,8.203
CMP-0230,Pereira,Frecuente,Tienda,Hogar,15,280,204315.0,134059.0,0.79,1.141,0.075,11.658
CMP-0231,Manizales,Ocasional,Digital,Hogar,10,120,265562.0,166002.0,0.652,1.215,0.096,6.988
CMP-0232,Medellin,Ocasional,Tienda,Bienestar,15,585,189096.0,114221.0,0.752,1.08,0.103,9.835
CMP-0233,Pereira,Frecuente,Digital,Tecnologia,10,311,221491.0,127212.0,0.993,1.07,0.057,12.967
CMP-0234,Bogota,Ocasional,Digital,Tecnologia,10,544,168100.0,107587.0,0.77,0.82,0.022,5.574
CMP-0235,Manizales,Ocasional,Digital,Educacion,10,153,272834.0,143579.0,0.554,1.185,0.066,7.253
CMP-0236,Bogota,Ocasional,Tienda,Bienestar,10,494,291929.0,174800.0,0.659,0.821,0.061,7.333
