customer_id,tenure_months,monthly_spend,late_deliveries_90d,support_tickets_90d,purchases_90d,segment,churned
CL-00051,68,221385.0,3,8,14,frecuente,0
CL-00052,34,149423.0,3,6,15,alto_valor,0
CL-00053,35,164363.0,2,0,0,ocasional,0
CL-00054,36,30000.0,0,2,6,alto_valor,0
CL-00055,12,78764.0,6,0,6,frecuente,0
CL-00056,70,138599.0,0,8,4,frecuente,0
CL-00057,17,265890.0,3,1,10,ocasional,0
CL-00058,29,235411.0,7,9,9,ocasional,1
CL-00059,55,187681.0,5,8,10,frecuente,1
CL-00060,14,185445.0,3,7,17,ocasional,1
CL-00061,11,185849.0,7,8,17,ocasional,1
CL-00062,31,204957.0,0,5,15,frecuente,0
CL-00063,33,77423.0,7,0,3,alto_valor,1
CL-00064,23,243734.0,7,5,17,alto_valor,1
CL-00065,40,187648.0,7,6,8,ocasional,1
CL-00066,33,114385.0,4,6,10,frecuente,1
CL-00067,5,107218.0,1,5,3,ocasional,0
CL-00068,64,224493.0,4,8,2,frecuente,0
CL-00069,39,223679.0,3,9,14,alto_valor,0
CL-00070,5,299685.0,4,2,10,ocasional,1
CL-00071,19,77480.0,2,0,9,alto_valor,0
CL-00072,3,115649.0,1,8,15,ocasional,0
CL-00073,19,233559.0,6,2,12,ocasional,1
CL-00074,47,65611.0,4,0,8,ocasional,0
CL-00075,62,213629.0,7,9,11,frecuente,0
CL-00076,70,200379.0,6,5,9,frecuente,0
CL-00077,18,225302.0,4,0,10,ocasional,0
CL-00078,10,240199.0,4,3,12,alto_valor,0
CL-00079,48,184271.0,5,1,16,frecuente,0
CL-00080,51,210978.0,5,9,7,frecuente,1
CL-00081,18,230293.0,2,3,4,frecuente,1
CL-00082,3,214823.0,3,8,14,ocasional,1
CL-00083,60,147817.0,7,0,15,frecuente,0
CL-00084,36,131844.0,2,3,14,frecuente,0
CL-00085,27,217319.0,1,0,2,ocasional,0
CL-00086,33,239472.0,7,3,13,ocasional,1
CL-00087,42,190087.0,4,4,0,frecuente,0
CL-00088,40,158659.0,1,4,8,alto_valor,0
CL-00089,20,42648.0,7,2,8,frecuente,1
CL-00090,26,229233.0,7,1,9,frecuente,0
CL-00091,15,68859.0,7,1,4,ocasional,1
CL-00092,20,144273.0,5,9,12,ocasional,1
CL-00093,26,223679.0,6,8,17,alto_valor,0
CL-00094,60,63014.0,7,5,11,frecuente,0
CL-00095,43,73090.0,6,6,5,frecuente,0
CL-00096,59,284292.0,4,6,9,frecuente,0
CL-00097,68,107766.0,0,6,13,ocasional,0
CL-00098,11,162809.0,2,8,9,frecuente,1
CL-00099,17,374506.0,6,2,4,ocasional,1
CL-00100,25,221423.0,6,6,5,frecuente,1
CL-00101,49,66247.0,2,1,10,ocasional,0
CL-00102,39,148842.0,2,6,17,frecuente,0
CL-00103,16,224301.0,5,1,12,ocasional,0
CL-00104,44,242092.0,0,1,15,alto_valor,0
CL-00105,66,245224.0,2,3,8,ocasional,0
CL-00106,54,124500.0,1,6,10,alto_valor,0
CL-00107,45,186771.0,0,1,4,ocasional,0
CL-00108,6,254505.0,3,1,8,frecuente,0
CL-00109,23,88139.0,3,1,0,frecuente,0
CL-00110,62,206007.0,1,9,15,frecuente,0
CL-00111,10,183169.0,4,2,17,alto_valor,0
CL-00112,63,196597.0,0,3,8,ocasional,0
CL-00113,68,219509.0,1,2,2,ocasional,0
CL-00114,72,194626.0,3,0,6,frecuente,0
CL-00115,56,204383.0,3,4,2,frecuente,0
CL-00116,63,175057.0,2,3,4,ocasional,0
CL-00117,14,217979.0,7,8,8,frecuente,1
CL-00118,60,267304.0,1,9,2,ocasional,1
CL-00119,68,216306.0,4,5,1,ocasional,1
CL-00120,9,30000.0,0,8,11,ocasional,1
CL-00121,6,302609.0,3,1,2,frecuente,0
CL-00122,61,165989.0,2,7,5,frecuente,0
CL-00123,69,189312.0,2,2,14,frecuente,0
CL-00124,13,91414.0,2,8,3,ocasional,1
CL-00125,30,131581.0,4,5,15,frecuente,0
CL-00126,29,170518.0,5,5,7,frecuente,1
CL-00127,49,61606.0,6,0,12,frecuente,0
CL-00128,55,254433.0,1,9,14,frecuente,0
CL-00129,60,180689.0,7,0,8,alto_valor,0
CL-00130,40,393259.0,5,7,0,ocasional,1
CL-00131,1,282156.0,1,8,6,frecuente,1
CL-00132,69,264010.0,1,5,4,alto_valor,0
CL-00133,54,320969.0,4,1,8,alto_valor,0
CL-00134,1,233040.0,6,6,11,frecuente,1
CL-00135,7,139436.0,7,5,4,ocasional,1
CL-00136,56,182701.0,3,8,11,alto_valor,0
CL-00137,71,120244.0,4,4,7,ocasional,0
CL-00138,17,105798.0,7,4,14,frecuente,0
CL-00139,33,188034.0,1,5,12,alto_valor,0
CL-00140,65,182451.0,7,7,6,ocasional,1
CL-00141,24,165561.0,4,1,12,alto_valor,0
CL-00142,64,74328.0,7,4,13,frecuente,0
CL-00143,29,151899.0,5,8,15,frecuente,0
CL-00144,46,235304.0,3,3,5,frecuente,0
CL-00145,12,205232.0,7,0,4,frecuente,1
CL-00146,8,195925.0,2,1,1,frecuente,1
CL-00147,55,188490.0,6,1,10,frecuente,0
CL-00148,37,180841.0,7,2,14,frecuente,0
CL-00149,19,263750.0,0,5,10,frecuente,0
CL-00150,9,167380.0,2,9,0,frecuente,1
CL-00151,57,200915.0,2,7,14,frecuente,0
CL-00152,14,161890.0,6,4,5,frecuente,1
CL-00153,56,209357.0,7,3,3,frecuente,1
CL-00154,23,243628.0,6,6,3,ocasional,1
CL-00155,53,156857.0,1,1,13,frecuente,0
CL-00156,29,83829.0,3,4,17,alto_valor,0
CL-00157,52,216823.0,2,5,7,ocasional,0
CL-00158,38,173239.0,1,0,8,frecuente,0
CL-00159,59,228986.0,7,5,1,ocasional,1
CL-00160,30,139611.0,3,3,1,ocasional,1
CL-00161,48,86966.0,2,0,6,frecuente,0
CL-00162,49,203148.0,5,1,0,frecuente,0
CL-00163,4,99969.0,2,5,15,alto_valor,0
CL-00164,22,205261.0,3,2,3,alto_valor,0
CL-00165,1,156436.0,4,9,10,frecuente,1
CL-00166,4,80582.0,6,9,9,alto_valor,1
CL-00167,62,281389.0,5,6,16,ocasional,0
CL-00168,61,247769.0,6,0,8,ocasional,0
CL-00169,50,136669.0,5,7,16,ocasional,0
CL-00170,65,242799.0,5,3,11,frecuente,0
CL-00171,60,166675.0,2,6,14,frecuente,0
CL-00172,54,251148.0,2,7,15,frecuente,0
CL-00173,39,133996.0,5,7,16,frecuente,0
CL-00174,29,187456.0,0,9,9,ocasional,1
CL-00175,8,210967.0,1,9,10,frecuente,1
CL-00176,7,154452.0,3,2,8,ocasional,0
CL-00177,47,247796.0,7,3,4,ocasional,1
CL-00178,70,211919.0,4,9,0,alto_valor,0
CL-00179,21,60591.0,3,4,16,alto_valor,0
CL-00180,39,238924.0,0,6,1,ocasional,1
CL-00181,8,130436.0,1,8,4,alto_valor,1
CL-00182,61,91130.0,0,2,17,ocasional,0
CL-00183,39,74771.0,4,4,12,ocasional,0
CL-00184,32,110317.0,5,1,9,frecuente,1
CL-00185,67,158711.0,3,0,8,frecuente,0
CL-00186,21,181509.0,4,6,7,frecuente,1
CL-00187,42,171107.0,6,9,10,ocasional,1
CL-00188,13,185814.0,2,0,1,alto_valor,0
CL-00189,25,134481.0,4,2,14,frecuente,0
CL-00190,45,187574.0,3,1,16,frecuente,0
CL-00191,56,109324.0,6,5,16,ocasional,0
CL-00192,42,162147.0,3,1,16,frecuente,0
CL-00193,56,207759.0,0,3,4,alto_valor,0
CL-00194,13,237229.0,4,2,15,frecuente,0
CL-00195,5,249729.0,0,4,2,frecuente,0
CL-00196,66,147890.0,3,1,2,ocasional,0
CL-00197,67,30000.0,0,3,3,alto_valor,0
CL-00198,53,150797.0,3,4,11,frecuente,0
CL-00199,47,251323.0,3,9,10,alto_valor,0
CL-00200,48,51406.0,3,8,12,frecuente,0
CL-00201,59,199293.0,0,9,9,frecuente,0
CL-00202,27,186364.0,2,8,7,frecuente,0
CL-00203,34,231151.0,4,6,2,ocasional,1
CL-00204,35,101166.0,3,8,5,frecuente,1
CL-00205,28,205984.0,3,0,9,frecuente,0
CL-00206,55,164049.0,0,5,8,alto_valor,0
CL-00207,60,223479.0,3,0,17,frecuente,0
CL-00208,45,222918.0,5,2,2,ocasional,1
CL-00209,13,202533.0,4,3,7,alto_valor,1
CL-00210,15,30000.0,1,0,6,ocasional,0
CL-00211,12,167205.0,4,2,10,frecuente,0
CL-00212,26,278775.0,4,3,9,ocasional,1
CL-00213,60,223236.0,7,4,2,alto_valor,1
CL-00214,47,196534.0,7,8,3,alto_valor,1
CL-00215,7,271884.0,5,7,10,frecuente,1
CL-00216,55,158655.0,5,5,4,ocasional,0
CL-00217,31,223953.0,2,1,14,frecuente,0
CL-00218,30,228500.0,6,7,9,ocasional,1
CL-00219,32,163106.0,1,3,4,ocasional,0
CL-00220,8,201011.0,3,6,12,frecuente,1
CL-00221,10,197066.0,6,9,15,ocasional,1
CL-00222,13,122429.0,4,4,5,alto_valor,1
CL-00223,23,201612.0,4,8,17,frecuente,0
CL-00224,12,72159.0,7,7,6,ocasional,1
CL-00225,33,245649.0,2,1,4,alto_valor,0
CL-00226,41,184096.0,0,5,2,ocasional,0
CL-00227,3,291569.0,2,7,12,ocasional,1
CL-00228,55,165033.0,7,0,7,frecuente,0
CL-00229,15,144046.0,1,4,5,ocasional,0
CL-00230,21,227876.0,5,4,4,frecuente,1
CL-00231,21,121883.0,0,4,3,ocasional,0
CL-00232,28,222949.0,1,2,0,frecuente,1
CL-00233,7,342356.0,6,1,7,ocasional,1
CL-00234,40,96070.0,2,8,11,alto_valor,0
CL-00235,39,82427.0,0,8,9,ocasional,0
CL-00236,15,155097.0,6,9,17,frecuente,1
CL-00237,40,274667.0,0,2,5,alto_valor,0
CL-00238,34,230685.0,5,6,15,ocasional,1
CL-00239,24,213224.0,7,1,6,frecuente,1
CL-00240,36,146865.0,5,9,11,ocasional,1
CL-00241,4,228637.0,1,8,9,ocasional,0
CL-00242,37,265840.0,3,3,14,frecuente,0
CL-00243,61,253685.0,0,1,9,ocasional,0
CL-00244,28,264486.0,6,2,2,frecuente,1
CL-00245,29,192222.0,1,2,11,ocasional,0
CL-00246,9,207926.0,6,4,8,frecuente,1
CL-00247,72,87877.0,6,3,14,alto_valor,0
CL-00248,5,264789.0,7,2,5,ocasional,1
CL-00249,24,267232.0,2,4,5,alto_valor,1
CL-00250,43,160106.0,0,1,3,frecuente,0
CL-00251,11,122217.0,2,7,13,ocasional,1
CL-00252,20,126217.0,4,9,16,ocasional,0
CL-00253,9,216897.0,3,3,4,frecuente,1
CL-00254,7,145843.0,2,0,9,frecuente,0
CL-00255,8,202098.0,1,1,9,ocasional,0
CL-00256,66,281300.0,4,1,9,frecuente,0
CL-00257,52,178932.0,4,4,5,frecuente,0
CL-00258,35,156212.0,7,6,12,frecuente,1
CL-00259,71,175330.0,0,0,0,ocasional,0
CL-00260,28,184776.0,3,9,0,frecuente,1
CL-00261,19,338642.0,0,1,10,alto_valor,0
CL-00262,61,180178.0,5,1,4,ocasional,0
CL-00263,49,207420.0,1,9,16,alto_valor,0
CL-00264,37,178876.0,0,8,7,ocasional,1
CL-00265,58,198842.0,3,9,17,ocasional,0
CL-00266,31,122465.0,1,1,9,alto_valor,0
CL-00267,1,304434.0,3,6,16,ocasional,1
CL-00268,68,167192.0,4,8,3,ocasional,1
CL-00269,2,40280.0,6,3,3,frecuente,1
CL-00270,65,163348.0,4,5,0,ocasional,0
CL-00271,9,112670.0,3,1,9,alto_valor,0
CL-00272,64,147285.0,3,5,11,ocasional,0
CL-00273,14,329459.0,3,2,7,ocasional,1
CL-00274,49,165135.0,7,6,2,frecuente,1
CL-00275,62,163397.0,0,6,2,ocasional,0
CL-00276,59,170584.0,3,8,16,alto_valor,0
CL-00277,72,273234.0,1,5,17,alto_valor,0
CL-00278,41,276174.0,5,3,12,ocasional,0
CL-00279,36,263920.0,5,9,9,ocasional,1
CL-00280,17,114296.0,1,1,4,frecuente,0
CL-00281,6,132190.0,3,0,10,ocasional,0
CL-00282,24,189931.0,4,6,6,frecuente,1
CL-00283,9,223148.0,1,9,2,ocasional,1
CL-00284,48,125144.0,5,6,2,frecuente,1
CL-00285,60,239508.0,7,9,4,ocasional,1
CL-00286,25,262335.0,4,7,11,ocasional,1
CL-00287,62,299448.0,5,1,8,ocasional,0
CL-00288,50,230939.0,5,6,7,frecuente,1
CL-00289,38,165918.0,4,2,5,ocasional,0
CL-00290,6,232253.0,3,9,4,frecuente,1
CL-00291,52,82507.0,0,8,4,ocasional,0
CL-00292,14,108121.0,3,2,11,ocasional,0
CL-00293,29,195458.0,7,9,11,ocasional,1
CL-00294,39,280309.0,5,2,9,alto_valor,0
CL-00295,61,213315.0,5,3,2,frecuente,0
CL-00296,22,167904.0,3,2,13,frecuente,0
CL-00297,59,151085.0,0,5,16,frecuente,0
CL-00298,36,212167.0,4,0,17,alto_valor,0
CL-00299,29,252929.0,7,6,11,frecuente,1
CL-00300,3,227348.0,6,3,13,frecuente,1
CL-00301,62,285954.0,5,3,2,frecuente,0
CL-00302,45,30000.0,7,2,1,frecuente,1
CL-00303,27,189169.0,1,5,7,ocasional,0
CL-00304,25,167753.0,1,2,0,frecuente,0
CL-00305,24,197243.0,1,6,7,ocasional,1
CL-00306,70,232801.0,6,2,12,frecuente,0
CL-00307,11,84658.0,1,5,7,frecuente,0
CL-00308,30,169721.0,2,0,9,ocasional,0
CL-00309,7,220379.0,4,7,0,frecuente,1
CL-00310,29,90688.0,2,8,8,ocasional,0
CL-00311,72,308929.0,7,8,15,frecuente,0
CL-00312,50,205959.0,7,1,13,frecuente,0
CL-00313,18,120999.0,6,7,13,ocasional,1
CL-00314,40,170681.0,4,1,10,ocasional,0
CL-00315,5,160172.0,4,7,6,frecuente,1
CL-00316,6,203853.0,1,5,2,frecuente,0
CL-00317,29,205509.0,6,0,1,alto_valor,1
CL-00318,49,151647.0,2,8,15,frecuente,0
CL-00319,33,59645.0,6,7,3,ocasional,1
CL-00320,21,40384.0,5,2,8,alto_valor,0
CL-00321,18,55338.0,0,2,3,frecuente,0
CL-00322,57,76794.0,5,1,12,frecuente,0
CL-00323,34,30000.0,7,0,8,alto_valor,1
CL-00324,42,264111.0,6,5,16,frecuente,0
CL-00325,47,225452.0,3,0,12,alto_valor,0
CL-00326,25,230774.0,7,6,17,frecuente,1
CL-00327,58,151877.0,1,4,0,frecuente,0
CL-00328,9,195584.0,7,1,15,frecuente,0
CL-00329,57,242112.0,2,9,15,frecuente,0
CL-00330,28,301675.0,3,5,16,frecuente,0
CL-00331,42,174637.0,7,3,16,ocasional,0
CL-00332,57,242689.0,3,2,9,ocasional,0
CL-00333,18,108176.0,7,8,1,frecuente,1
CL-00334,1,259448.0,0,7,0,frecuente,1
CL-00335,2,182593.0,4,5,7,ocasional,1
CL-00336,22,107163.0,6,8,14,alto_valor,0
CL-00337,20,186550.0,3,1,14,frecuente,0
CL-00338,56,161948.0,6,1,2,alto_valor,0
CL-00339,32,187037.0,7,7,17,ocasional,1
CL-00340,20,205868.0,2,5,7,ocasional,1
CL-00341,50,75209.0,3,1,0,frecuente,0
CL-00342,7,129289.0,4,3,15,alto_valor,0
CL-00343,24,278760.0,3,9,1,ocasional,1
CL-00344,38,241905.0,0,4,14,alto_valor,0
CL-00345,65,279174.0,5,6,10,ocasional,0
CL-00346,51,254638.0,5,9,7,ocasional,1
CL-00347,69,212396.0,1,5,8,ocasional,0
CL-00348,60,230683.0,3,8,0,alto_valor,1
CL-00349,6,192727.0,1,5,14,frecuente,0
CL-00350,8,128086.0,5,7,4,ocasional,1
CL-00351,47,186294.0,0,3,11,frecuente,0
CL-00352,63,189206.0,6,5,16,frecuente,0
CL-00353,57,83184.0,6,0,7,ocasional,0
CL-00354,70,124941.0,3,4,4,ocasional,0
CL-00355,59,207828.0,2,0,7,ocasional,0
CL-00356,64,186556.0,4,4,4,ocasional,1
CL-00357,33,166445.0,3,4,2,ocasional,1
CL-00358,10,221605.0,6,7,3,ocasional,1
CL-00359,66,112780.0,0,0,14,frecuente,0
CL-00360,52,292658.0,5,1,4,frecuente,0
CL-00361,3,176798.0,0,9,5,frecuente,0
CL-00362,42,148768.0,6,9,6,ocasional,1
CL-00363,2,171225.0,5,6,17,frecuente,0
CL-00364,56,177865.0,3,7,6,ocasional,0
CL-00365,34,188191.0,2,6,4,alto_valor,0
CL-00366,17,100465.0,1,9,2,frecuente,1
CL-00367,46,216397.0,3,3,9,ocasional,0
CL-00368,58,104745.0,7,2,4,frecuente,0
CL-00369,71,185160.0,7,8,16,frecuente,0
CL-00370,39,126320.0,2,0,12,ocasional,0
CL-00371,58,195888.0,2,1,16,frecuente,0
CL-00372,32,170914.0,3,2,8,frecuente,0
CL-00373,41,186109.0,7,7,17,frecuente,0
CL-00374,66,220572.0,3,5,9,frecuente,0
CL-00375,35,285988.0,1,7,16,frecuente,0
CL-00376,8,219794.0,2,3,17,ocasional,1
CL-00377,36,139186.0,7,9,4,frecuente,1
CL-00378,56,291076.0,4,5,11,ocasional,0
CL-00379,3,256918.0,2,3,4,frecuente,0
CL-00380,42,221613.0,3,4,13,ocasional,0
CL-00381,37,152314.0,2,4,14,ocasional,0
CL-00382,65,133524.0,4,4,9,frecuente,0
CL-00383,53,162278.0,3,2,16,ocasional,0
CL-00384,20,141564.0,0,7,10,frecuente,0
CL-00385,58,281727.0,6,4,7,frecuente,0
CL-00386,58,114549.0,3,6,5,alto_valor,0
CL-00387,44,262784.0,0,1,16,frecuente,0
CL-00388,37,208666.0,7,1,2,ocasional,1
CL-00389,3,145836.0,3,2,11,frecuente,0
CL-00390,12,179359.0,2,4,12,alto_valor,0
CL-00391,2,280074.0,1,1,12,frecuente,0
CL-00392,12,256641.0,4,0,8,alto_valor,0
CL-00393,44,119992.0,6,4,11,alto_valor,0
CL-00394,4,227293.0,3,3,13,alto_valor,0
CL-00395,7,152088.0,3,2,16,frecuente,0
CL-00396,46,198728.0,0,1,6,frecuente,0
CL-00397,46,30000.0,1,9,5,ocasional,1
CL-00398,36,315929.0,7,5,4,frecuente,1
CL-00399,58,194537.0,7,5,11,frecuente,0
CL-00400,29,234927.0,3,5,2,alto_valor,1
CL-00401,26,219050.0,0,6,13,ocasional,0
CL-00402,11,121288.0,3,6,2,frecuente,0
CL-00403,26,275911.0,0,5,7,ocasional,0
CL-00404,31,205127.0,2,2,8,ocasional,0
CL-00405,15,263069.0,6,2,10,frecuente,0
CL-00406,22,283157.0,2,5,4,ocasional,1
CL-00407,5,30000.0,0,7,11,frecuente,1
CL-00408,9,121691.0,2,4,8,alto_valor,0
CL-00409,2,205868.0,2,6,6,ocasional,1
CL-00410,14,195092.0,7,2,7,ocasional,1
CL-00411,39,191914.0,2,2,2,ocasional,0
CL-00412,69,60412.0,3,5,10,alto_valor,0
CL-00413,54,154330.0,1,8,12,frecuente,0
CL-00414,49,137474.0,5,7,13,frecuente,0
CL-00415,63,246632.0,7,7,12,frecuente,1
CL-00416,62,148190.0,1,5,9,frecuente,0
CL-00417,8,229843.0,0,6,3,ocasional,1
CL-00418,57,157533.0,5,8,0,frecuente,1
CL-00419,5,119211.0,0,6,0,ocasional,1
CL-00420,40,174889.0,7,9,6,frecuente,1
CL-00421,42,116305.0,3,0,14,frecuente,0
CL-00422,26,192427.0,4,9,11,alto_valor,1
CL-00423,6,207293.0,1,0,11,frecuente,0
CL-00424,54,325492.0,3,7,12,alto_valor,0
CL-00425,37,169230.0,7,3,12,frecuente,0
CL-00426,3,244629.0,1,0,2,ocasional,1
CL-00427,14,249496.0,2,5,11,frecuente,0
CL-00428,24,306353.0,2,3,6,alto_valor,0
CL-00429,61,198984.0,0,7,10,alto_valor,0
CL-00430,37,30000.0,6,2,0,frecuente,1
CL-00431,59,198571.0,0,6,13,frecuente,0
CL-00432,71,246207.0,7,3,7,frecuente,0
CL-00433,8,390933.0,0,4,8,frecuente,0
CL-00434,1,67758.0,2,5,1,frecuente,1
CL-00435,39,158197.0,2,6,5,alto_valor,0
CL-00436,5,126454.0,3,2,5,frecuente,0
CL-00437,22,138636.0,5,7,10,frecuente,1
CL-00438,23,234057.0,4,7,13,frecuente,0
CL-00439,50,218068.0,6,3,11,ocasional,1
CL-00440,70,224903.0,4,5,10,alto_valor,0
CL-00441,23,152337.0,0,8,4,ocasional,1
CL-00442,7,86807.0,0,1,13,frecuente,0
CL-00443,16,241178.0,4,6,3,ocasional,1
CL-00444,38,88793.0,0,0,11,ocasional,0
CL-00445,24,139202.0,6,8,6,alto_valor,1
CL-00446,55,237537.0,6,2,4,alto_valor,1
CL-00447,24,162275.0,0,4,10,alto_valor,0
CL-00448,52,162684.0,0,8,10,ocasional,0
CL-00449,62,284556.0,6,3,0,ocasional,1
CL-00450,50,280144.0,2,5,12,ocasional,0
CL-00451,54,228279.0,4,3,2,frecuente,1
CL-00452,50,196416.0,4,6,12,ocasional,0
CL-00453,70,124917.0,6,6,1,ocasional,1
CL-00454,38,69600.0,2,9,3,frecuente,1
CL-00455,32,393457.0,6,6,14,frecuente,0
CL-00456,15,281757.0,7,8,12,ocasional,1
CL-00457,15,143927.0,4,5,8,frecuente,0
CL-00458,52,75286.0,5,0,2,frecuente,0
CL-00459,46,198270.0,4,9,10,ocasional,1
CL-00460,39,182997.0,7,4,12,frecuente,0
CL-00461,48,139370.0,3,7,15,ocasional,0
CL-00462,50,225693.0,5,3,2,frecuente,0
CL-00463,67,162749.0,1,8,8,ocasional,0
CL-00464,2,160124.0,0,0,17,frecuente,0
CL-00465,34,226818.0,6,2,5,frecuente,1
CL-00466,6,91041.0,4,7,15,alto_valor,1
CL-00467,69,269986.0,2,4,12,alto_valor,0
CL-00468,11,245676.0,5,1,17,alto_valor,0
CL-00469,9,106993.0,2,1,0,frecuente,1
CL-00470,3,226200.0,4,7,8,ocasional,1
CL-00471,46,134695.0,6,3,10,alto_valor,0
CL-00472,43,195188.0,5,8,0,frecuente,1
CL-00473,65,197973.0,4,5,5,frecuente,0
CL-00474,52,223588.0,6,7,5,ocasional,1
CL-00475,47,176574.0,6,9,0,ocasional,1
CL-00476,2,321801.0,4,5,14,alto_valor,1
CL-00477,39,147565.0,0,0,9,ocasional,0
CL-00478,44,269234.0,1,4,8,frecuente,0
CL-00479,13,168650.0,2,4,12,frecuente,0
CL-00480,37,174378.0,7,9,3,ocasional,1
CL-00481,62,128950.0,0,0,8,frecuente,0
CL-00482,6,118067.0,6,2,17,frecuente,0
CL-00483,60,268826.0,5,2,17,frecuente,0
CL-00484,59,198769.0,4,0,0,ocasional,0
CL-00485,20,219159.0,5,5,17,frecuente,0
CL-00486,59,178787.0,6,0,11,ocasional,0
CL-00487,12,233395.0,2,7,11,ocasional,1
CL-00488,7,302835.0,7,2,9,frecuente,1
CL-00489,17,222075.0,0,4,10,ocasional,0
CL-00490,31,190645.0,2,0,16,alto_valor,0
CL-00491,49,151581.0,3,7,15,frecuente,0
CL-00492,14,114180.0,1,5,12,ocasional,1
CL-00493,43,64986.0,7,8,5,ocasional,1
CL-00494,31,144835.0,2,3,2,frecuente,0
CL-00495,39,87462.0,6,8,15,frecuente,0
CL-00496,53,141869.0,7,6,14,alto_valor,0
CL-00497,9,170176.0,3,2,9,frecuente,0
CL-00498,64,183883.0,7,0,10,ocasional,0
CL-00499,32,56033.0,2,0,5,frecuente,0
CL-00500,13,173050.0,6,2,15,alto_valor,1
CL-00501,63,255523.0,0,0,13,frecuente,0
CL-00502,31,116166.0,2,4,15,ocasional,0
CL-00503,23,234998.0,6,5,9,alto_valor,1
CL-00504,39,184655.0,7,5,0,ocasional,1
CL-00505,55,137517.0,6,7,7,frecuente,0
CL-00506,36,327702.0,7,7,1,frecuente,1
CL-00507,25,197479.0,4,5,16,ocasional,1
CL-00508,29,112515.0,4,6,16,frecuente,0
CL-00509,39,255591.0,3,4,16,alto_valor,0
CL-00510,28,208096.0,6,0,4,frecuente,0
CL-00511,26,112514.0,5,4,13,frecuente,1
CL-00512,14,317020.0,3,5,1,ocasional,1
CL-00513,6,135658.0,4,8,16,frecuente,1
CL-00514,25,119499.0,3,4,9,frecuente,0
CL-00515,35,151040.0,0,3,14,frecuente,0
CL-00516,41,30000.0,1,3,9,alto_valor,0
CL-00517,42,278481.0,0,9,6,ocasional,0
CL-00518,33,30000.0,7,1,3,ocasional,1
CL-00519,24,93862.0,1,7,11,frecuente,0
CL-00520,28,168348.0,0,3,7,alto_valor,0
CL-00521,28,163218.0,3,5,0,alto_valor,0
CL-00522,40,140781.0,3,6,16,alto_valor,0
CL-00523,39,204748.0,2,7,10,frecuente,0
CL-00524,8,280035.0,7,8,17,frecuente,1
CL-00525,50,95954.0,2,2,17,ocasional,0
CL-00526,71,73261.0,3,1,13,frecuente,0
CL-00527,45,124742.0,3,2,1,alto_valor,0
CL-00528,2,317283.0,0,2,12,alto_valor,0
CL-00529,7,187824.0,3,6,11,frecuente,0
CL-00530,48,219804.0,2,5,11,ocasional,0
